Trade_volume,Number of trades with that volume
0.25,380
1.0,2083
2.0,237
3.0,141
4.0,39
5.0,45
0.5,691
1.5,72
8.8022,1
9.08699378,1
10.0,17
11.0,2
0.13079735,1
2.375,1
15.0,2
17.0,1
0.0519,6
3.5,4
20.0,5
0.94993199,1
0.00210285,1
4.08881538,1
0.00735186,1
0.1038,3
0.75,53
0.04011663,1
0.00597495,1
0.06712492,1
1.25,3
6.0,9
0.00852864,1
0.01528639,1
0.0932,1
7.0,8
0.16668775,1
0.18612376,1
0.05393823,1
8.0,3
0.36797502,1
0.1533357,1
0.23938269,1
9.0,2
0.00222405,1
0.00212492,1
2.57701058,1
0.06407557,1
0.04492,1
2.5,11
0.01267029,1
0.00368426,1
0.97515055,1
0.87900622,1
0.4989,1
13.0,1
0.04027739,1
0.17481732,1
0.00792345,2
0.00233566,3
0.3633,1
15.988,1
0.01047552,1
0.11183269,1
3.907,1
1.424,1
0.02493517,1
0.1652,1
0.02147291,1
0.0503,1
0.7065,1
18.8891998,1
0.0488,1
0.00018824,1
0.29575769,1
19.41917676,1
0.05633768,1
0.01596859,1
0.01369794,1
0.19109377,1
0.00829478,1
4.5,3
0.2363,4
0.08196086,1
0.001137,1
0.52619668,1
0.2584,1
0.0147505,1
0.91690796,1
0.15730795,1
0.02843953,1
1.5209,1
0.34030677,1
0.08087574,1
0.31505243,1
0.0625,5
0.00264973,1
0.05773868,1
0.2997,1
1.1485328,1
0.00757843,1
0.1129,1
0.02069032,1
0.00531273,1
0.0476484,1
0.00179713,1
0.04698535,1
3.799,1
1.75,1
6.5,2
3.856,1
0.00904362,1
0.00326192,2
0.595752,1
0.06182875,1
0.2226,6
0.01923429,1
0.1768856,1
0.00723449,1
0.36165,2
0.0015085,1
0.03951,2
0.10642936,1
0.00267925,1
0.0282077,1
0.0351,9
0.00585,1
7.5,1
0.00884997,1
3.50985579,1
0.00295663,2
0.53629519,1
0.04853597,2
0.0976,4
0.021278,1
0.68447214,1
0.74497122,1
0.00901571,1
0.00239062,1
0.00493745,1
39.32283074,1
0.00390539,1
0.01602523,1
0.00643556,1
0.03672162,1
0.013216,1
0.663,1
0.1927,3
0.01294947,2
0.01199527,1
0.00525442,1
0.31810149,1
0.9517089,1
0.03441906,1
2.52908649,1
0.22890604,1
0.00383211,1
0.46122454,1
0.00850509,1
0.02516759,2
0.07796616,1
0.00848843,1
1.56845136,1
0.12070316,1
0.2697,2
0.11652067,1
0.02526838,1
1.58389262,1
0.18700582,1
0.05876063,1
7.66e-05,1
0.0513111,1
0.022197,2
0.03958849,1
0.02810467,1
0.0563361,1
0.0214,7
0.00016531,1
0.00584788,1
0.16669378,1
0.0839,3
0.07846235,1
0.08804249,1
0.00878788,1
0.025798,2
0.80870042,1
2.25,2
1.163,1
0.03116,1
0.01996106,1
0.0047818,1
0.02013851,1
0.00106409,1
0.2511,2
0.01153174,1
0.1162,3
0.278401,1
0.07637029,1
0.02108558,1
0.00059349,1
0.01171746,1
0.10620994,1
0.02307553,1
0.22394429,1
0.20457,2
0.03746832,1
3.24418696,1
0.025961,2
1.2657,1
0.648,1
0.068239,1
0.0156667,1
0.04796839,1
1.40886915,1
0.32707499,1
0.07854648,2
0.11733948,1
0.00019279,1
0.7858,1
0.79033323,1
0.05939128,1
0.0076384,1
0.20435438,1
0.00284499,1
0.22865895,1
0.2202,3
0.17532986,1
0.01924705,1
0.0702,5
0.0077,20
0.93941059,1
0.13790127,1
0.00308905,1
0.34011449,1
0.00341641,1
0.13233178,1
0.03363435,1
0.02787893,1
0.32600486,1
0.0133984,2
0.00788929,2
0.00874626,1
0.0063,19
0.24759885,1
0.1327,3
0.04273634,2
0.00247306,1
0.12853227,2
0.97400622,1
0.08859775,1
0.02711306,1
0.011595,1
0.00504992,1
0.02722,1
0.00498703,1
0.25003466,1
0.13813228,1
0.27844624,1
0.01647227,2
0.16206112,2
0.00237731,1
0.01493524,1
0.0379954,1
0.2908345,1
0.00573,2
4.15126276,2
0.19977723,1
0.47744667,1
0.02677602,1
0.12502176,1
0.51652543,1
0.04866543,1
0.01658,3
0.00667876,1
0.00415606,1
0.25800727,1
0.02481727,1
0.00358258,1
0.9969155,1
0.77022255,1
0.8430382,1
0.20104407,1
