Trade_volume,Number of trades with that volume
161.576916,1
162.471,1
27.79193619,1
165.4211616,1
167.471616,1
31.44389,3
28.05868,1
170.40943452,1
171.02685372,1
172.8672758,1
174.40054782,1
29.09709381,1
176.73035869,1
2188.00747,1
74.99969923,1
30.9429184,1
182.697,1
184.85714285,1
185.9021787,1
6.26576,1
31.63581337,1
188.274,1
189.9305,3
190.5,1
192.3968769,1
32.3330909,1
194.31502114,1
195.56839638,2
196.92814092,1
197.76451142,1
198.58673,1
200.0,1
202.13932862,1
34.33403,7
34.35522,15
209.89781039,2
16594.84920556,1
35.6286,1
212.87909839,1
214.20536313,2
215.436004,1
216.42535489,1
36.2014048,1
4314.05186888,1
30.94192,6
5.1890042,1
221.368,1
37.5,4
224.5508982,1
227.993,2
12517.828,1
16.23585828,1
39.17489709,1
236.6572,1
34.37594,31
40.59510795,1
25.32936,1
245.081,1
246.04389,1
41.4190728,1
248.26938318,1
250.0371,1
4347.09493234,1
42.914,1
254.6101683,1
256.323,1
257.4243513,2
258.49365665,2
43.36418663,1
10966.83983645,1
265.91196079,1
270.39956,1
271.6557512,1
34.32177,1
274.9705016,1
275.9368801,2
46.72410582,1
2e-08,6
282.219,1
47.791156,1
287.42514971,1
6147.80367643,1
555.68678169,1
290.31056739,1
49.7002739,2
296.266,1
298.2085095,1
299.99239978,1
300.0,1
50.0,2
34.32903,1
10.89022,1
30.94153,1
0.0008988,1
0.00091093,1
311.399,1
52.25506182,1
556.30039858,1
317.08177,1
4.45952,1
556.3590305,1
34.34029,1
9.94e-05,2
322.426,1
54.83851797,1
327.32023526,1
328.292,1
55.53244215,1
11.17183,1
337.50256095,1
338.882,1
342.53200137,1
57.0100474,1
344.13186748,1
90457.36994774,1
30.93753,2
348.80109563,1
58.0,1
351.3973962,1
353.468,1
59.75024365,2
359.592,1
0.02236323,1
60.01597208,1
362.886,1
365.881,1
12.0,1
0.00376481,1
372.1827,1
63.43508,1
21.40179867,1
381.5125692,1
382.456,1
384.99260148,2
0.00011928,1
74.99999542,1
391.01051,1
393.8408,1
30.00898,2
66.73493795,1
398.3685068,1
400.461,1
402.74230995,1
67.85860666,1
9.37348032,1
407.16352179,1
411.831,1
412.22370999,1
12701.24462,1
150.0,1
69.28163924,1
0.10159322,1
418.851,1
70.86744395,1
423.03851737,1
425.0,1
430.50004999,2
34.32176,1
433.81950425,1
434.63665068,1
30.0,5
436.296,1
437.904,1
439.241,1
441.86777855,2
4.7e-07,1
443.384,1
74.9955574,1
2.0,2
34.36355,2
75.9323352,1
0.00027405,1
0.85555,1
458.04501359,1
2061.03130838,1
462.014,2
77.98612455,1
34.34608,6
465.34879536,1
30.02252,1
561.94531092,1
472.90268518,1
473.12964,1
479.24595001,1
34.32573,2
481.305,1
0.16878978,1
16.19686521,1
491.16819926,1
495.82690723,3
34.36716,1
499.00207908,1
500.75819679,1
503.44484422,1
504.98409,1
0.00732515,1
509.95167418,1
0.30743824,1
1.074,1
514.71625,1
34.33071,3
17.00824,1
517.99298285,1
520.24423334,1
30.93747,1
0.00815667,1
7.952e-05,1
527.2357475,1
34.32898,1
26.06922742,1
34.3671,2
9.95190577,1
533.958,1
89.49823804,1
537.19255604,2
5.56219216,1
541.009,1
543.12492,1
34.32138059,1
545.41581683,1
547.9362119,1
551.605,1
553.507378,1
554.8504324,1
555.34559,1
556.03659366,1
557.05999,1
558.3409041,1
559.78003927,1
4e-08,1
561.14513362,1
563.26267903,1
565.10361118,2
837.937,1
36959.212,1
19.55489,1
577.89681891,2
97.974,1
584.5,2
587.53522534,1
28.1028,1
597.1827,1
598.028,1
600.0,1
100.0,4
37.63421711,2
20.0,5
0.09974409,1
30.93994,1
610.46,1
558.66458,1
103.14200535,2
29.26350098,1
4718.16629,1
7.3674297,1
8.63,1
105.158262,1
55.59162284,1
3.965e-05,1
12926.389,2
34.34638,1
6.66e-05,1
107.40384885,1
4742.3068,1
6252.9671,1
30.02222,1
109.3180695,1
34.34395,3
658.13067387,1
660.84,1
0.00606088,1
22.55674639,2
30.94434,20
34.33585,9
112.0,2
31.1499,1
12976.3903473,1
689.26363495,2
115.0323,1
23.4389228,1
697.948,1
700.0,1
34.35301,1
703.791,1
34.35657,14
183072.40598404,1
30.94034,1
118.73992815,1
21.0237452,1
715.74686564,1
0.00023841,1
0.003518,1
34.33802,7
4.29e-06,1
121.9247616,1
731.14958,1
735.43,1
16.84653182,2
747.95151697,1
754.19,1
759.722,1
760.57206651,1
127.26807319,2
0.23351486,1
128.03635042,1
770.31611148,2
771.9772116,1
74.99953129,1
783.44072367,1
26.55883,1
131.83571244,1
13076.389,79
0.11991763,1
7.51e-06,1
5.41968934,1
797.8438927,1
800.92707219,1
18.852375,1
805.445,1
9000.0,4
14.96578,1
812.89172404,1
813.59819745,1
815.508,1
27.208844,1
817.78664935,1
2186.159,1
34.32201,1
835.25619502,2
837.562,1
6e-08,1
841.16846,1
30.9432,2
844.0673,1
4941.4915051,1
34.36308,26
850.0,1
34.32562,2
30.94262,1
143.05124,1
862.06751,1
3.37797256,1
865.389972,1
866.46230753,1
9059.0337,1
50022.49325067,1
145.36531847,1
558.98336539,1
115562.14618538,1
46.70292602,1
877.789,1
880.347,1
4985.90479043,1
2.1e-07,1
896.85799465,1
4995.6,1
21380.86741327,1
150.2994012,1
4999.50004999,1
34.36073,51
30.9461,1
5005.01,1
5006.496,1
3.587e-05,1
835.406,1
916.01623309,1
9.856e-05,1
34.32563,7
931.88,1
9125.99489024,1
31.43768,61
937.044,1
0.00044741,1
157.328,1
34.33977,4
5045.455,1
951.59376628,2
6.80887864,1
0.01097349,1
959.36777702,2
960.00383499,1
0.10264923,1
962.5,1
34.3217,1
66.94749057,1
74.99906457,1
32.53722109,1
0.00605491,1
977.51572762,1
30.94462,3
24.95021892,2
34.3642,8
41947.50434696,1
165.637,1
0.08555,1
50000.0,1
50.39920351,1
16.84821666,1
0.01190793,1
1001.51639357,1
0.00081013,1
1007.192,1
1013.3706778,1
0.11608441,1
1024.26,1
2.20242051,1
3.67882094,1
1.20240813,1
34.34363,6
1041.478,1
1042.06741494,1
4270.0,1
175.0,1
1056.524,1
5153.75654364,1
1058.91079187,1
1062.475,1
34.33974,18
34.33358,2
1075.34703059,1
862.71442774,1
7.0,1
1084.78747592,1
181.6003893,1
34.31539,14
0.03984048,1
1093.27802006,1
0.00532099,1
1095.4026064,1
28.44,1
1103.662,1
75.41982302,1
5.94113,1
37.0,1
20.63401968,1
1120.11485405,1
1121.47273009,2
1122.47297,1
86203.97556491,1
0.00031911,1
1130.20722236,1
12.49932635,2
189.43055,1
34.31756,9
1e-05,1
34.32229,2
3.04153006,1
0.00396589,1
29.98741,6
5256.31010287,1
34.33308,27
30.94241,14
30.93542888,1
194.1622473,1
34.37061,10
9.24746788,1
13464.88459619,2
39.30031183,1
18.72244817,1
197.65968064,1
0.01986408,1
0.00056858,1
18.91895259,1
198.4709508,2
1190.609,1
1191.491,1
14.9346,1
34.37076,3
1196.111,1
1197.11597003,1
0.99601214,1
34.36044,2
1202.33772682,1
30.94457,5
74.99999142,1
57.06549229,1
40.0,2
30.00720557,1
34.34081,7
37.50000001,2
74.99939719,1
74.999833,2
3.05189621,1
205.92743072,1
34.32262,24
79062.28557226,1
34.32299,2
27.07263388,1
30.60429142,1
2593.29648263,1
0.00501074,1
1249.87500891,2
1250.0,1
74.99992803,1
74.9999654,1
1257.79757949,1
12.96909816,1
1263.747,1
0.00024751,1
42.46277891,1
25.19419,1
9.07779,1
34.35613,1
212.34114004,1
1274.59342627,4
1275.00252499,4
34.32335,1
0.49136171,1
1283.37276033,1
1290.707,1
30.94382,6
13.51497399,1
34.36658,4
1297.66227318,1
26.022,1
8410.1790945,1
10000.88078539,1
0.00158712,1
1313.44220934,1
74.99999748,1
112.76878643,2
1324.44870928,1
411.4168445,1
2499.50004999,1
221.22387819,1
34.35713,7
30.94198,10
1334.91224754,1
6.35704,2
223.53422646,1
5002.778,1
19.02018273,1
34.3668,1
74.99900043,1
1355.41054105,1
7.47305163,1
34.31859,6
1362.425,1
30.94159,1
0.03232907,1
1378.52726991,1
30.94415,1
30.0075,8
1381.534,1
46.8721544,1
17773.28619966,1
12.39761,1
2092.83647821,1
1392.6873009,1
0.00099957,1
6.84883678,1
1e-07,1
34.3256,1
30.02372,3
1406.72197994,1
3.5805975,1
47.20806381,1
30.94151,5
34.34327,7
11.02202495,1
34.33022,2
196.92897888,1
30.93984,2
1437.71899379,1
30.94155,2
31.44097,1
1449.743,1
198.870606,1
55.5529455,1
34.32181,1
245.49315205,1
34.3676,7
246.17221712,1
32.54339538,1
9.656e-05,1
34.316,3
9686.43120425,1
1503.08629644,1
1504.525,1
1505.0,1
50.46453936,1
24.4266082,1
30.44521,2
29.9895,5
253.13887222,1
34.33708,1
5617.52441319,1
1522.48427238,1
1523.80655942,1
34.33209,17
0.07762457,1
0.19698103,1
2.79433986,1
34.3218,6
1540.63222298,1
3.46e-05,2
34.32799,12
9.15555334,1
0.00099977,1
9759.47629741,1
34.33961,3
35.65447629,1
34.31818,2
1589.038,1
265.05498032,1
1594.305,1
556.62852982,1
1599.678,1
0.0498006,2
1602.653,1
30.0084,3
0.6167235,1
1607.458,1
15.21598141,1
2.27902075,1
51.42726483,1
5.23e-06,1
1634.4794,1
28.42652216,1
0.00083956,1
30.94544,5
54.33441854,4
1629.38755605,2
34.33419,14
49.97178822,1
956.243,1
1.14e-06,1
29.3241306,1
34.31871,2
30.00699924,1
1652.11369535,1
13944.1036778,1
34.35866,4
34.33608,6
34.37592,4
960.77382695,1
2.94837612,1
30.9423,4
112.277952,1
34.3254,4
1.2e-07,1
560.52855135,1
1685.94810379,1
34.32099987,1
1690.27295001,1
34.36683,1
555.196,1
31.16601518,1
30.01711,15
34.34756,1
34.24157365,1
40.02397348,1
6.01982709,1
287.41113436,1
34.33159,4
56.42443479,1
3.42571906,1
0.05976072,1
30.94007,4
34.33832,3
34.33739,15
1745.51239004,1
0.02572957,1
34.31848,3
5.01591,1
1764.598,1
16.85664589,1
977.547,1
34.3221,32
30.93823,17
0.01470545,1
16.9037576,1
1776.08456056,4
59.0317,1
30.9426,4
25.60902,1
1783.64216391,1
0.1786392,1
0.49994999,1
8491.2463878,1
17.32784,1
9990.89537324,1
9857.103,1
1800.42885549,1
14089.7596778,2
10000.0,6
1816.43193,1
0.00014978,1
28.05987,1
0.08347454,1
304.99001996,1
30.94549,8
0.00033319,1
561.94526131,1
1835.46993701,1
0.00736021,1
44.5766698,1
0.05841018,1
1841.45379076,2
307.95325467,1
34.32186,4
18233.61187054,1
34.36715,2
19.99600079,1
3.64e-06,1
1859.23543678,1
96.04730946,1
30.94329,17
1868.71184588,1
45.2827567,1
34.36425,3
995.44298584,1
34.32546,2
0.05787077,1
1892.21554707,1
165.055314,1
558.5391356,1
63.80380162,1
46.67511907,1
12.90456176,1
34.32463,1
1000.0,2
30.00287,2
12475.43909,1
10102.9394,1
1001.19,1
1912.42189445,1
1915.94595903,1
21.86456745,1
0.49995001,2
30.94336,2
30.94284,14
322.989,1
34.3159,3
0.00796112,1
34.35769,15
30.0054,47
1957.67110118,1
555.27734033,1
1960.863,1
8.594e-05,1
14.95997972,1
16711.29319476,1
34.36823,12
328.8522888,1
1971.05788423,1
0.00182561,1
1977.671,1
34.33235,1
34.33483,6
74.99999571,1
2.18533431,1
1988.84666869,1
1989.30784,1
0.00098076,1
7.91e-06,1
1999.6,1
34.33221,3
1.02e-06,1
24.84443071,1
16.93012713,1
1.315e-05,1
34.33411,16
0.00083988,1
34.33383,18
2.935e-05,1
34.34275,14
67.080443,1
50.8814918,1
1.62253837,1
30.94169,1
0.008,1
8.10375994,1
136.85541225,1
30.94215,3
34.33572,1
0.01792821,1
1.11038004,1
2.51037924,1
3.59832,1
4.28677,1
5.4656549,1
6.2648,1
7.81349274,1
30.01591,3
3.68746456,1
2.13244768,1
0.00217519,1
2064.55467,1
2065.36334932,2
2066.18049575,1
3.67109,1
9.73696576,1
2069.49995001,1
5.96730696,1
34.32239,1
18.41528306,1
34.33973,1
2090.0,1
30.94252,1
2092.48901318,1
2095.81,1
27.07428802,1
29.93156,1
351.3723259,1
8.0,1
30.95093,16
24.60079649,1
34.34673,17
34.33195,1
30.0021,2
2136.48106071,1
37.28368327,1
344.63181747,3
558.5466932,1
2156.089,1
1042.6772898,1
34.31837,3
10356.93324971,1
2165.49147007,1
8.14038413,1
0.49996435,2
0.15053857,1
0.00190878,1
30.39076607,1
1e-08,1
0.02390429,1
10385.953,1
34.31874,4
19483.84446775,1
34980.00000001,1
2215.75099006,1
31.43744,2
27.75356051,1
34.3318,2
6322.6484949,1
30.44538,1
