Trade_volume,Number of trades with that volume
148.0547,1
149.4256,1
150.0,8
25.14690823,1
152.83016888,1
153.5340088,1
154.26343606,1
155.75077808,1
156.6769562,1
26.430423,1
158.86550237,1
159.879324,1
160.03124841,1
161.50461224,1
162.0,2
27.806174,2
164.0,1
165.0,1
166.28991804,1
167.14653131,1
168.0,8
169.17887888,1
170.81576423,1
171.0,4
172.0,1
173.0,1
174.0,1
29.74007552,1
176.3616,1
177.9867,2
178.0,3
179.12245525,1
180.0,2
181.49793034,1
182.663524,1
183.0,4
0.02257264,1
185.71838759,1
186.0,2
31.406,1
188.08528431,1
189.31154475,1
190.0,2
191.0,2
192.823,1
32.902,1
194.7975976,1
195.0,3
196.51988811,1
197.34529976,1
198.0,2
199.8401326,1
200.0,16
201.0,1
202.0,2
204.21574277,1
34.93688241,1
206.74170902,1
207.23475723,1
208.28578693,1
209.82869715,1
210.0,1
35.127,1
212.83910253,1
213.13695,1
214.70707234,1
215.0,4
216.82099191,1
36.915,1
218.60007092,1
219.79613896,1
220.35215281,1
221.0,1
222.80982752,1
37.64084084,1
0.05043783,1
225.666,1
226.36626888,1
227.5855009,1
228.0,1
38.8404,1
16.92564339,1
231.0,1
232.71272397,1
233.2902,1
234.49089853,1
39.86,1
236.0,1
237.664358,1
239.0,1
240.3668324,1
40.45136424,1
242.86,1
243.46438551,1
25.8949,1
245.6704083,1
246.41183525,1
41.2241346,1
248.22734106,1
250.0,45
251.12980949,1
252.6462,1
42.86,3
254.88677799,1
255.0368937,1
256.97171409,1
257.0,1
43.66664315,1
260.39082115,1
261.38768203,1
262.0,1
264.0,1
44.837,1
267.9049,1
0.00206867,1
269.0,1
45.10912143,1
0.00069259,1
273.01392257,1
275.9044,1
276.89464977,1
46.233,1
278.13152846,1
279.66886722,1
280.8271468,1
281.981703,1
282.02700005,1
47.253699,1
284.0,1
285.40745483,1
286.8229902,1
287.95056542,1
288.431,1
48.76148969,1
292.15687679,1
294.36631158,1
49.87033712,2
296.0,1
122.03573574,1
299.22202274,1
300.0,7
50.416,1
302.03,1
44.04404404,1
304.21249772,1
305.5,1
306.83771287,1
51.6880698,1
308.28578693,1
309.32330366,1
310.68845525,1
312.41399339,1
52.931,1
314.91149814,1
316.5078,1
317.45,1
36.8189,1
319.31459941,1
320.24880019,1
321.61014475,1
322.0133,1
323.02614269,1
324.72930723,1
54.5593,1
326.45670173,1
327.91646333,1
329.073035,1
330.0,1
55.64695,1
332.00290061,1
1.7e-07,1
335.9786,1
56.22534032,1
338.3827,1
339.7919021,1
340.27299004,1
341.42862847,1
342.71255872,1
