time,price,volume,buy_or_sell,market_or_limit,misc
1526202370.8576,13.820000,9.97406756,s,m,
1526561856.9065,13.150300,0.00000070,s,m,
1526375381.424,14.190000,0.03993608,b,m,
1526524588.4881,13.589900,3.31560009,b,l,
1526267914.5711,13.884900,4.32124106,s,l,
1526306135.1313,13.978200,15.38370727,s,l,
1526202370.8268,13.842700,6.29328976,s,l,
1526595603.6222,12.340000,125.00000000,s,l,
1526460949.9558,12.140000,125.00000000,b,m,
1526421494.8977,12.770000,445.69946284,s,m,
1526546277.2898,13.017200,0.14499481,s,m,
1526579204.447,12.720000,5.72712590,s,l,
1526595610.3282,12.320000,60.25357076,s,l,
1526497307.2181,12.234900,40.98360000,s,l,
1526440018.6844,12.261700,81.55475900,s,l,
1526604426.8222,11.920000,13.97858031,s,m,
1526661153.6364,12.370500,18.94138893,b,l,
1526466968.2922,12.765700,510.11000000,b,m,
1526497318.6277,12.250000,20.40816000,b,l,
1526396524.9541,13.391200,3.00000000,s,m,
1526437774.8931,13.200000,10.00000000,b,m,
1526366253.7058,14.200000,111.63490941,b,l,
1526521525.5291,13.890000,0.09817893,b,l,
1526311858.5676,14.389100,212.83910253,s,l,
1526200733.4898,13.939000,0.00000332,b,l,
1526595641.3445,12.369700,100.00000000,b,m,
1526399036.2243,13.520000,22.29581858,s,l,
1526267914.5784,13.884800,5.32900000,s,l,
1526399038.2995,13.520000,51.23176043,s,l,
1526399039.8159,13.520000,31.47242099,s,l,
1526416777.3167,12.975300,9.85410000,s,m,
1526494566.4473,12.210000,250.00000000,b,m,
1526210446.9906,14.150100,991.84500000,s,m,
1526253781.779,14.639300,37.00000000,s,m,
1526596020.3646,12.333800,991.84500000,s,l,
1526659097.7175,12.356800,469.23689103,b,l,
1526595597.8911,12.348800,5.00000000,b,m,
1526371477.8574,14.000100,100.00000000,s,l,
1526309847.281,14.370000,0.00001431,b,l,
1526198662.9808,14.080000,77.12125934,b,l,
1526606522.5591,12.230000,10.98242816,b,l,
1526267998.4507,13.900000,71.94244000,s,l,
1526169697.7344,14.011100,3.90640000,s,l,
1526307418.291,14.265900,254.88677799,b,m,
1526567306.7051,13.357600,14.97277000,b,l,
1526575536.1912,12.750000,182.80500000,b,m,
1526661230.0874,12.381400,3.24000000,b,m,
1526333552.9991,14.356900,10.00000000,b,m,
1526418840.991,12.977600,0.00391733,s,m,
1526169715.1593,13.966500,3.92040000,s,l,
1526169716.4559,13.966500,3.91760000,s,l,
1526477335.296,12.048200,10.79494356,b,m,
1526476791.7684,12.213600,35.95438401,s,l,
1526577175.0306,12.800100,15.05800000,s,l,
1526217866.5785,14.140000,250.00000000,b,l,
1526558626.5102,13.358000,128.17330000,b,m,
1526465767.7537,12.672500,0.00026974,b,l,
1526582631.9762,12.410000,0.00021227,b,l,
1526231115.3177,14.980000,93.96780000,s,l,
1526230156.8642,14.700000,273.05892759,b,m,
1526524611.4258,13.500700,161.59978318,s,m,
1526230905.1559,15.000000,15.00000000,b,m,
1526306158.0439,13.978200,46.26730000,b,l,
1526333592.3501,14.242500,0.05102586,s,m,
