None
USDTUSD
time,price,volume,buy_or_sell,market_or_limit,misc
1525679469.2773,0.99790000,34.02605000,s,l,
1525690365.3442,0.99790000,34.05311000,b,l,
1525686353.1482,0.99820000,5946.56589000,b,l,
1525688665.3062,0.99800000,17.27432605,s,l,
1525708169.4999,0.99910000,34.03578000,s,l,
1525744393.8624,0.99990000,34.05790000,b,l,
1525666437.9411,0.99720000,33.99463000,s,l,
1525686356.675,0.99820000,3756.87857888,b,l,
1525728577.2864,0.99940000,34.04795000,s,m,
1525654954.4107,0.99560000,75.00000000,b,l,
1525658156.9718,0.99620000,30.75323000,s,l,
1525654955.1331,0.99590000,30.15045000,b,l,
1525705813.362,0.99930000,34.03084000,b,l,
1525659052.5728,0.99710000,33.99000000,b,l,
1525744393.8178,0.99990000,34.05790000,b,l,
1525747431.6053,0.99670000,1000.00000000,b,l,
1525699127.2349,0.99770000,33.10017000,b,l,
1525654958.2297,0.99590000,668.03500000,b,l,
1525699127.2635,0.99770000,33.10017000,b,l,
1525669585.1654,0.99620000,30.18443000,b,m,
1525744393.8766,0.99990000,34.05743000,b,l,
1525687183.2278,0.99800000,5.70253000,b,l,
1525658156.9779,0.99620000,30.75323000,s,l,
1525728577.277,0.99940000,34.04795000,s,m,
1525708225.1862,0.99910000,34.03602000,s,l,
1525686365.3923,0.99810000,729.00000000,b,l,
1525682417.9725,0.99680000,33.99141000,s,l,
1525740561.4615,0.99880000,14089.75967780,b,l,
1525669585.1454,0.99620000,30.18443000,b,m,
1525690365.3629,0.99790000,34.05376000,b,l,
1525721846.906,0.99980000,34.04206000,b,l,
1525747444.8858,0.99670000,1000.00000000,b,l,
1525719629.8137,0.99920000,0.00000011,s,m,
1525669022.5608,0.99640000,0.55902158,s,m,
1525678672.6168,0.99750000,470.52300000,b,l,
1525678677.3602,0.99750000,1137.55000000,b,l,
1525678678.4253,0.99750000,1527.73000000,b,l,
1525678681.1576,0.99760000,2743.18500000,b,l,
1525678684.6374,0.99680000,31.00877061,s,l,
1525710099.8921,0.99900000,34.03363000,b,l,
1525738385.2039,0.99900000,0.00000002,s,l,
1525667135.4415,0.99620000,250.00000000,s,l,
1525658945.1934,0.99640000,500.00000000,s,m,
1525744753.7679,0.99860000,34.05938000,s,l,
1525678693.1544,0.99750000,771.42900000,b,l,
1525682418.0115,0.99680000,33.99204000,s,l,
1525687046.4873,0.99800000,34.04254000,s,l,
1525684922.557,0.99590000,30.12260000,s,l,
1525708169.5479,0.99910000,34.03578000,s,l,
1525694568.7589,0.99930000,34.00816000,s,l,
1525678706.7406,0.99750000,1196.68000000,b,l,
1525656339.2561,0.99550000,74.99510280,b,l,
1525666437.8546,0.99720000,33.99463000,s,l,
1525678967.8707,0.99700000,34.02145000,b,l,
1525656631.2891,0.99640000,30.20266000,b,l,
1525667135.4511,0.99610000,33.03712000,s,l,
1525721954.6341,0.99990000,26.55993490,b,l,
1525744393.8096,0.99980000,34.05743000,b,l,
1525746426.4634,0.99960000,34.06503000,b,m,
1525686574.443,0.99820000,34.03828000,b,l,
1525656342.0941,0.99560000,22.47325280,b,l,
1525744753.6481,0.99970000,34.06337000,s,l,
1525708225.1957,0.99910000,34.03617000,s,l,
1525657370.0691,0.99700000,46.38762364,b,l,
1525721327.6342,0.99980000,34.02548000,b,l,
1525659007.7767,0.99710000,80.86400000,b,l,
1525709593.7948,0.99880000,834.52633159,s,l,
1525666918.604,0.99630000,6000.00000000,s,l,
1525687047.0631,0.99800000,34.04254000,s,l,
1525685185.1753,0.99810000,34.01318000,b,l,
1525684922.5856,0.99580000,30.12623000,s,l,
1525656631.3229,0.99640000,30.20266000,b,l,
1525679656.856,0.99680000,34.01897000,s,m,
1525669726.2148,0.99720000,33.02397000,b,m,
1525685568.0204,0.99790000,34.08987000,s,l,
1525669585.1195,0.99620000,30.18443000,b,m,
1525669781.1256,0.99620000,33.04853000,s,m,
1525695659.4759,0.99760000,88.73057884,s,m,
1525659008.2201,0.99710000,80.86400000,b,l,
1525682417.9495,0.99680000,33.99151000,s,l,
1525668010.5767,0.99660000,250.00000000,s,l,
1525719896.4937,0.99930000,34.03460000,b,l,
1525658157.0717,0.99360000,2730.58991065,s,l,
1525752515.4383,0.99790000,30.07127000,s,l,
1525736863.3022,0.99960000,34.05672000,b,l,
1525714920.1669,0.99970000,34.00836000,b,l,
1525699127.2707,0.99770000,33.10017000,b,l,
1525666471.7042,0.99690000,1000.00000000,b,l,
1525719161.711,0.99920000,34.02664000,s,l,
1525687000.4505,0.99840000,13076.38900000,b,l,
1525684010.1128,0.99670000,30.12623000,b,l,
1525738965.0953,0.99560000,0.08672457,s,m,
1525682418.3493,0.99570000,3122.96600000,s,l,
1525691068.0437,0.99780000,34.06973000,b,l,
1525746859.2592,0.99890000,34.05478000,s,l,
1525691068.0737,0.99780000,34.08409000,b,l,
1525708225.153,0.99910000,34.03602000,s,l,
1525699127.1383,0.99750000,33.10281000,b,l,
1525687322.3191,0.99800000,28.33958000,b,l,
1525685185.1966,0.99810000,34.01318000,b,l,
1525679469.311,0.99790000,34.02510000,s,l,
1525721795.8647,0.99980000,34.04686000,s,m,
1525746887.7269,0.99830000,6000.00000000,s,l,
1525685184.9989,0.99790000,34.03548000,b,l,
1525746426.6047,0.99960000,34.06503000,b,m,
1525708225.1555,0.99910000,34.03602000,s,l,
1525684010.0562,0.99670000,30.12623000,b,l,
1525666918.5971,0.99640000,125.00000000,s,l,
1525705813.3382,0.99930000,34.03016000,b,l,
1525687046.4775,0.99800000,34.04254000,s,l,
1525687047.0766,0.99800000,34.04254000,s,l,
1525744393.8224,0.99990000,34.05790000,b,l,
1525698690.9346,0.99680000,34.09182000,s,l,
1525719161.7212,0.99920000,2059.74770000,s,l,
1525654954.4289,0.99590000,4.51798000,b,l,
1525711637.8278,0.99940000,102.00483289,s,l,
1525695659.4811,0.99760000,0.00000071,s,m,
1525744393.8976,0.99990000,34.05743000,b,l,
1525721846.9245,0.99980000,34.04206000,b,l,
1525705112.3778,0.99910000,34.02890000,b,l,
1525740777.2419,0.99960000,34.05668000,b,l,
1525688665.3524,0.99690000,34.04254000,s,l,
1525744393.8247,0.99990000,34.05790000,b,l,
1525698690.8722,0.99760000,33.04272000,s,l,
1525714933.2889,0.99990000,13076.38900000,b,l,
1525698839.4683,0.99660000,5700.57003187,s,m,
1525703489.1846,0.99920000,838.39580000,b,l,
1525664990.045,0.99750000,33.99621000,b,l,
1525685200.1499,0.99790000,0.00256329,b,l,
1525736756.3511,0.99940000,34.04795000,s,m,
1525721795.8694,0.99980000,34.04686000,s,m,
1525669366.5469,0.99610000,33.04319000,s,m,
1525667083.3893,0.99720000,33.02444000,b,m,
1525654424.1966,0.99500000,30.18564000,b,l,
1525722501.1191,0.99950000,33.62640000,s,l,
1525687125.5697,0.99800000,10.88505000,b,l,
1525719896.475,0.99930000,34.03460000,b,l,
1525714934.8909,0.99990000,7128.49946287,b,l,
1525723279.0038,0.99930000,34.03531000,s,l,
1525669366.4852,0.99640000,33.04828000,s,m,
1525721523.5538,1.00000000,0.00000080,b,l,
1525654532.3218,0.99530000,30.62563000,s,l,
1525713520.9206,0.99910000,34.02720000,s,l,
1525744753.7376,0.99920000,34.06140000,s,l,
1525738965.0817,0.99690000,13076.38900000,s,m,
1525698690.8523,0.99760000,33.04272000,s,l,
1525654954.4241,0.99580000,30.62267000,b,l,
1525684922.509,0.99590000,30.12260000,s,l,
1525744393.7718,0.99980000,34.05743000,b,l,
1525654382.1557,0.99460000,74.99100952,b,l,
1525686574.4677,0.99820000,34.03828000,b,l,
1525658156.9864,0.99520000,30.67493000,s,l,
1525678967.8739,0.99700000,34.02145000,b,l,
1525687160.3933,0.99700000,22.58437504,s,l,
1525690365.3674,0.99790000,34.05376000,b,l,
1525654424.2131,0.99500000,30.18564000,b,l,
1525746426.4501,0.99890000,75.00000000,b,m,
1525733361.8309,0.99960000,34.04936000,s,l,
1525678979.9563,0.99700000,34.02145000,b,l,
1525687047.0879,0.99800000,34.04254000,s,l,
1525723279.0778,0.99910000,0.00005930,s,l,
1525723058.6951,0.99940000,34.04206000,s,m,
