Trade_volume,Number of trades with that volume
0.0357612,1
0.00640525,1
0.00438943,2
0.00671609,1
0.42662842,1
0.00448811,1
0.2105,1
0.35,1
0.044,2
0.03391261,1
0.0048333,1
0.01695285,1
0.13303734,1
0.0749,1
0.45659613,1
0.03609207,1
0.06868676,1
0.29614322,1
0.01024526,1
0.00536,1
0.00765452,1
5.37e-06,1
0.06921679,1
0.08067301,1
0.33151275,1
0.019,1
0.00535724,1
0.89170078,1
0.0717,1
0.15,1
0.1628,1
0.00299132,1
0.00811757,1
0.73968499,1
0.02,13
0.1236,1
0.01519658,1
0.93304475,1
0.00439283,1
0.03547059,1
0.1853712,1
0.02961488,1
0.0165,1
0.03466952,1
0.43150065,1
0.02561886,1
0.00546088,1
0.19647759,1
0.02136293,1
0.00312329,1
0.5424598,1
0.821,1
2.02,1
0.00304715,1
1.30868059,1
0.01071,1
0.21045291,1
0.0303,1
0.0172414,1
0.010621,1
0.0021,2
0.1762,1
0.00626659,1
0.31609984,1
0.0646,1
0.0792356,1
0.39912459,1
0.01064,1
0.00439532,1
0.0143,1
0.03,2
0.17350621,1
0.33204973,1
0.00352241,1
0.0247,1
0.0175,1
0.00334587,1
0.0063,1
0.12277891,1
0.00631783,1
0.18261548,1
0.00374411,1
0.04634993,1
0.2269,1
0.1997753,1
0.02044896,1
0.08064176,1
0.0641161,1
0.01058257,1
0.00291329,1
0.02007089,1
0.02464229,1
0.37276408,1
0.2048,2
0.0034436,1
0.01020187,1
0.89633858,1
0.31088813,1
0.02010049,1
0.47062135,1
0.04287704,1
0.00533897,1
0.00410421,1
0.01696945,1
0.00555283,1
0.0148932,1
0.00371664,1
0.01193644,1
0.7969,1
0.010646,1
0.63981499,1
0.00593465,1
0.03147695,1
0.15144825,1
0.0259,1
0.560559,1
0.0021364,1
0.02208356,1
0.01872945,1
2.53880962,1
0.01022175,1
0.02477096,1
0.7694,1
0.2205,1
0.0969,1
0.02555744,1
0.01025993,1
3.01e-06,1
0.01389833,1
0.26305027,1
0.67349794,1
0.01674118,1
0.00536153,1
0.00251199,1
0.00238884,1
0.19559653,1
0.00536494,1
0.00214298,1
0.02940861,1
0.10946029,1
0.025,3
0.08137791,1
0.01347606,1
0.09882737,1
0.009,1
0.76124081,1
0.01188442,1
0.01925223,1
0.00374003,1
0.00640896,1
0.00548176,1
0.08954282,1
0.001,10
0.4,1
0.3481,1
0.00625924,1
0.2362058,1
0.00371431,1
0.00703094,1
0.0071,1
0.00299295,1
0.29773638,1
0.0414,1
0.01023753,1
0.52768386,1
0.0273,1
0.3739,1
0.25551183,1
0.02588037,1
0.05388173,1
0.40568347,1
0.09183048,1
0.873,1
0.77,1
0.49208221,1
0.29987993,1
0.05604,1
0.00230199,1
0.00561037,1
0.97900622,1
0.4545,1
0.21198208,1
0.0412,3
0.00757073,1
0.00470604,1
0.05260667,1
0.0224,1
0.02109822,1
0.00445336,1
0.01466891,1
0.0155,2
0.01020024,2
0.3688859,1
9.16e-06,1
0.2552,1
0.06458336,1
0.03082686,1
0.74294332,1
0.0136,1
0.06978739,1
5.8e-06,1
0.21706668,1
0.2322,1
0.00374171,1
0.032,1
0.97631537,1
0.0042758,1
0.041,1
0.00534548,1
0.00639034,1
0.22548078,1
0.00634679,1
0.77809656,1
0.00288233,1
0.0117,1
0.01570402,1
0.02833425,1
0.00642041,1
0.02514263,1
0.0102944,1
0.0413,1
0.01942277,1
0.24293322,1
0.00207387,1
0.2197468,1
0.0394,1
0.65879066,1
0.09231879,1
0.02012864,1
0.01124943,1
0.00632151,1
0.0005705,1
0.777,2
0.05888804,1
0.0399829,1
0.00201936,2
0.2237,1
0.00167647,1
0.02890846,1
0.00764956,1
0.00531508,1
0.022,1
0.0093021,1
0.01154597,1
0.01226678,1
0.05346907,1
0.265,3
0.2713,1
0.09455097,1
0.00534536,1
0.21988331,1
0.014,2
0.60007805,1
0.00829181,1
0.00273517,1
0.12293948,1
0.21608786,1
0.2731,1
0.00033726,1
0.006,3
0.2189,1
1.75e-05,1
0.06226614,1
0.01109103,1
0.253,1
0.00899999,6
0.96427478,1
0.3114,1
0.00628761,1
0.7362994,1
0.00360974,1
0.15804992,1
0.00532,1
5.08e-06,1
0.02388437,1
0.10857448,1
0.28523946,1
0.00387991,1
0.02839039,1
0.00700659,1
0.14719199,1
0.0163,1
0.2929,1
0.13879268,1
0.19923068,1
0.04233358,1
0.4893684,1
0.02649682,1
0.0548076,1
0.2,8
0.28954709,1
0.09163296,1
0.14967705,1
4.72e-06,1
0.08002559,1
0.02874552,1
0.03854582,1
0.00796095,1
0.1986,2
0.05857852,1
0.00967199,1
0.00674765,1
0.35032295,1
0.01234348,1
0.00200293,1
0.12060195,1
0.20280428,1
0.00317273,1
0.20482544,1
0.0203144,1
0.00268666,1
0.0468,2
0.01153208,1
0.00665977,1
0.07597274,1
0.34169725,1
0.02675479,1
0.1100604,1
0.0106,2
0.02919506,1
0.06711432,1
0.08519,1
0.00536704,1
0.26,1
0.010619,2
0.6631216,1
0.23795,1
0.0327,2
0.02346,1
0.01094563,1
0.001094,1
0.08713366,1
0.05352662,1
0.00232993,1
0.04468605,1
1.006e-05,1
0.23325433,1
0.03150279,2
0.03939707,1
0.2427,1
0.02842153,1
0.05444697,1
0.2173194,1
0.0102554,1
0.016,1
0.00551789,1
0.01033081,1
0.0589,1
0.69200486,1
0.034,2
0.02115194,1
0.02484688,1
0.26535527,1
0.0049,1
0.1787927,1
0.01232946,1
0.12476901,1
0.03110815,1
0.00398617,1
0.00874051,1
0.03105751,1
0.42065771,1
0.01022391,1
0.95768679,1
0.07,1
0.00706423,1
0.01360105,1
0.003,12
0.00274805,1
0.00642281,1
0.87505873,1
0.08948348,1
1.68540278,1
0.00637926,1
0.00344939,1
0.07902496,1
0.00201383,1
0.10969573,1
0.034771,1
0.01028643,1
0.09362391,1
0.00484257,1
0.1152,1
