time,price,volume,buy_or_sell,market_or_limit,misc
1525809154.3467,749.14000,1.00000000,s,l,
1525918379.8422,751.22000,0.65913598,s,m,
1525809156.9323,749.74000,0.24292903,b,l,
1525809160.046,749.11000,1.00000000,s,m,
1525850375.0058,721.62000,1.54190000,s,l,
1525951306.3405,759.43000,1.08017062,b,m,
1525841922.8604,721.65000,1.61881996,b,l,
1525808588.6031,746.60000,0.20354450,s,l,
1525776387.2107,744.56000,5.41366747,s,l,
1525840619.2301,720.70000,0.16678700,b,m,
1525791018.1019,732.81000,0.07004268,s,l,
1525840659.3225,718.31000,0.00000754,s,m,
1525809156.9181,749.64000,4.75707096,b,l,
1525805743.678,747.00000,0.00378378,b,l,
1525874723.755,742.00000,0.26954000,s,l,
1525872135.0619,745.32000,0.31105503,s,m,
1525885617.2173,755.05000,1.54504902,b,m,
1525890965.1261,751.95000,0.03287761,s,l,
1525874729.9149,742.10000,1.50000000,b,l,
1525768645.6038,756.71000,5.08181231,s,l,
1525972999.924,742.00000,12.42137039,s,l,
1525875016.6358,741.94000,0.80295590,b,l,
1525802129.5878,736.00000,0.10000000,s,m,
1525835536.5813,722.11000,6.70000000,b,m,
1525809160.0492,748.90000,0.44871736,s,m,
1525965361.8452,758.94000,1.53085580,b,m,
1525907642.5703,750.80000,1.62022778,b,m,
1525899581.8777,742.80000,1.22400000,s,l,
1525809207.2082,749.70000,0.99989990,b,l,
1525874745.9168,741.08000,0.17000000,s,m,
1525809211.7964,750.50000,0.92440303,b,m,
1525874750.3481,741.20000,0.50000000,s,m,
1525896639.0751,751.00000,0.13315000,b,m,
1525940288.5124,762.56000,0.04000000,b,l,
1525776395.554,744.28000,0.35523681,s,m,
1525885509.1773,751.18000,4.65576149,b,m,
1525974327.7136,738.70000,8.47369781,s,m,
1525865065.2252,744.58000,0.02600000,b,m,
1525856831.7034,729.14000,0.39900000,b,l,
1525874764.1118,742.20000,0.10000000,s,l,
1525816518.2074,747.01000,1.00000000,b,m,
1525809231.4434,749.18000,0.99989990,s,l,
1525975961.5067,738.99000,0.18685031,b,m,
1525866848.4614,740.90000,4.50000000,b,m,
1525838837.167,711.99000,0.00007713,b,l,
1525809235.073,749.13000,0.13195655,s,l,
