time,price,volume,buy_or_sell,market_or_limit,misc
1525809561.4287,0.99910000,0.00007157,s,m,
1525887809.8697,0.99910000,34.08565000,s,l,
1525744753.6437,0.99970000,34.06337000,s,l,
1525778358.0855,0.99940000,75.00000000,s,l,
1525809160.3702,1.00060000,16.02772033,b,l,
1525723279.0673,0.99910000,34.04470000,s,l,
1525746426.6276,0.99990000,2500.00000000,b,m,
1525856480.1228,0.99990000,370.21000000,b,l,
1525879827.1898,0.99960000,33.58673000,s,l,
1525773803.3214,0.99910000,34.07476000,s,m,
1525790464.3202,0.99920000,30.06946000,b,l,
1525804142.1603,1.00090000,34.04089000,s,l,
1525882387.5887,0.99960000,33.59404000,b,m,
1525784101.1312,0.99860000,34.09377000,s,m,
1525855067.34,1.00000000,162.85300000,b,l,
1525872967.1338,0.99960000,33.59135000,b,m,
1525882387.65,0.99990000,2923.97187000,b,m,
1525736863.441,0.99990000,401.10078688,b,l,
1525778647.533,0.99800000,723.94103124,s,m,
1525743670.0982,0.99970000,75.00000000,s,m,
1525854217.7992,0.99990000,317.92300000,b,l,
1525792824.832,1.00100000,39.60895244,s,l,
1525864939.7696,0.99930000,33.57943000,s,l,
1525784636.7936,0.99910000,44.60450816,b,l,
1525854218.1745,0.99990000,343.96200000,b,l,
1525854018.7087,0.99950000,33.58177000,b,l,
1525895180.9592,0.99920000,34.09057000,s,l,
1525895180.9384,0.99920000,34.09057000,s,l,
1525790464.2425,0.99920000,30.06946000,b,l,
1525790464.3651,0.99970000,10429.74492348,b,l,
1525893237.1224,0.99950000,34.08755000,b,l,
1525744753.7679,0.99860000,34.05938000,s,l,
1525744753.7506,0.99920000,34.06140000,s,l,
1525897525.9358,0.99920000,34.09493000,s,m,
1525864939.7507,0.99960000,33.58347000,s,l,
1525891169.6984,0.99940000,75.00000000,b,m,
1525757916.3561,0.99800000,30.07368000,b,l,
1525744753.7147,0.99970000,34.06337000,s,l,
1525784677.8938,0.99980000,34.07936000,b,l,
1525872118.1517,0.99970000,34.07074000,s,m,
1525721846.9191,0.99980000,34.04206000,b,l,
1525893096.6528,0.99940000,0.08764905,s,m,
1525895187.3826,0.99930000,3.13754000,b,m,
1525814635.5547,1.00010000,0.00000415,s,m,
1525856958.0248,0.99990000,383.80400000,s,l,
1525790464.3535,0.99920000,30.06946000,b,l,
1525784696.629,0.99920000,0.05501108,s,l,
1525854228.9329,0.99990000,571.14600000,b,l,
1525833570.6343,1.00010000,499.40071914,s,m,
1525773803.3416,0.99910000,34.07476000,s,m,
1525746426.5865,0.99960000,34.06503000,b,m,
1525746426.5515,0.99960000,34.06503000,b,m,
1525778299.0515,0.99930000,800.27740284,s,l,
1525814635.5533,1.00010000,0.00207803,s,m,
1525891204.0999,0.99940000,75.00000000,b,m,
1525886999.8274,0.99970000,75.00000000,b,l,
1525746859.2466,0.99890000,34.05478000,s,l,
1525727079.2106,0.99940000,34.02659000,s,m,
