time,bid,ask
1525809153,9255.20000,9273.30000
1525809154,9255.20000,9267.80000
1525983915,9077.30000,9077.40000
1525809156,9255.30000,9257.80000
1525809157,9255.30000,9257.30000
1525809168,9255.40000,9257.30000
1525962073,9336.10000,9336.20000
1525809178,9255.40000,9267.50000
1525809179,9255.40000,9266.30000
1525809180,9255.40000,9255.50000
1525897398,9280.00000,9284.50000
1525940259,9350.90000,9357.50000
1525809188,9255.40000,9262.70000
1525809189,9255.40000,9262.60000
1525809191,9255.40000,9262.60000
1525809192,9255.40000,9262.70000
1525936679,9300.00000,9300.30000
1525809194,9255.40000,9255.50000
1525809195,9255.40000,9262.70000
1525809196,9255.40000,9256.40000
1525809197,9255.40000,9256.30000
1525940270,9350.90000,9351.00000
1525809199,9255.40000,9263.60000
1525809200,9255.40000,9256.10000
1525809202,9255.40000,9255.90000
1525809206,9255.70000,9255.90000
1525809208,9255.40000,9255.90000
1525809209,9255.40000,9255.80000
1525900567,9233.90000,9237.50000
1525809213,9253.90000,9254.80000
1525809214,9250.00000,9253.70000
1525983925,9077.30000,9083.50000
1525896544,9278.60000,9278.80000
1525809221,9250.00000,9250.10000
1525780980,9110.00000,9110.30000
1525896547,9278.60000,9278.80000
1525831932,9161.20000,9164.50000
1525983929,9077.30000,9080.00000
1525983930,9077.50000,9080.00000
1525983934,9079.90000,9080.00000
1525983935,9077.60000,9080.00000
1525770830,9338.30000,9341.50000
1525841846,9065.10000,9072.80000
1525897052,9290.20000,9297.60000
1525809288,9250.00000,9250.80000
1525809290,9250.00000,9250.80000
1525983938,9079.90000,9080.00000
1525809294,9250.10000,9250.80000
1525809296,9250.00000,9250.80000
1525809301,9250.00000,9250.10000
1525940374,9351.00000,9358.80000
1525809304,9250.10000,9250.70000
1525940379,9351.10000,9358.80000
1525809308,9250.20000,9250.70000
1525940382,9351.20000,9358.80000
1525940383,9356.20000,9358.80000
1525940384,9356.30000,9358.70000
1525809313,9250.20000,9250.80000
1525940386,9356.30000,9358.50000
1525809315,9250.30000,9250.80000
1525940388,9351.40000,9358.80000
1525940389,9351.40000,9358.70000
1525809318,9250.30000,9250.70000
1525809319,9250.30000,9250.80000
1525809320,9250.30000,9250.40000
1525940393,9351.50000,9358.70000
1525809322,9250.30000,9250.80000
1525809323,9250.30000,9250.60000
