Trade_volume,Number of trades with that volume
0.14000901,1
1.0,3
2.0,13
3.0,461
4.5,24
5.0,513
6.0,46
7.0,48
8.0,38
9.0,271
10.0,709
11.0,16
12.0,21
13.0,13
14.0,20
15.0,81
16.43059008,1
17.68114,1
18.52733859,1
3.5,19
20.0,258
21.0,9
22.9269501,1
23.24574389,1
24.382339,1
4.0,64
26.0,7
27.93722054,1
28.0,7
29.0,7
30.0,115
5.5,7
32.5,1
33.24177139,1
34.3674,4
35.0,23
36.922,1
6.82593,1
38.0,8
39.93610224,1
40.0,68
41.0,3
42.32757493,1
43.93709579,1
44.28,1
45.0,15
46.554,1
47.81026,1
48.0932588,1
49.0,4
50.0,216
51.685,1
52.53391861,1
53.82308605,1
54.8536,1
55.0,13
56.41467333,1
57.93866849,1
58.0,7
59.0,2
60.0,30
10.17627881,1
62.99099292,1
63.976979,1
64.51598919,1
65.46902,1
66.0,9
11.5,1
68.346,1
69.5108435,1
70.0,15
71.00142753,1
72.3620655,1
12.5,20
74.612313,1
75.0,31
76.87307307,1
77.1275,1
78.18422955,1
79.47337095,1
80.0,24
81.3419782,1
82.45416415,1
83.0,1
84.830341,1
85.1806,1
86.2247889,1
87.96372524,1
88.55371197,1
89.38164966,1
90.68,1
91.0,23
92.41445556,1
93.9834257,1
94.0,1
95.566,1
96.47540335,1
97.06,1
98.96470043,1
99.78048311,1
100.0,871
101.0,1
102.01659511,1
17.0,18
104.0,3
105.50366789,1
106.4582,1
107.8304616,1
108.7567,1
18.01801802,2
110.79616893,1
111.21521522,1
112.1763876,1
113.0907,1
114.62811524,1
19.0,7
116.61488979,1
117.8999,1
118.70242647,1
119.9214,1
120.8436193,1
20.8005005,1
122.59289289,1
123.46964537,1
124.603566,1
125.0,201
4.75,1
21.5,3
128.70587549,1
129.3463242,1
130.8415603,1
131.53098197,1
132.98855696,1
22.94238335,1
134.08,1
135.92965177,1
136.87117475,1
137.21028643,1
138.392996,1
139.14906344,1
140.48222422,1
141.74997559,2
142.03478308,1
143.68925525,1
144.0,5
145.62138578,1
146.7961072,1
147.84290704,1
148.43541356,1
149.0,3
150.0,45
25.0,119
152.44688234,1
153.03366702,1
154.70422222,1
155.0,3
156.90422959,1
26.036,1
158.0,3
159.03513736,1
160.0,3
161.0,13
162.62604069,1
27.0,15
164.7102249,1
165.0,5
166.42399933,1
167.03553997,1
168.453639,1
169.0,11
170.0,8
171.05727436,1
172.74594595,1
173.0,14
174.67329905,1
29.551665,1
176.62239814,1
177.76258336,1
178.21981982,1
179.0,11
180.78109579,1
30.75,1
182.0,4
183.5403603,1
184.59068191,1
185.70531351,1
186.7,1
31.25842745,1
188.0,11
189.0,8
190.20582841,1
191.76356993,1
192.0,7
193.01872934,1
194.72985385,1
195.0,6
196.78807734,1
197.54494606,1
198.87500218,1
199.64064684,1
200.95934213,1
201.40349094,1
202.38525779,1
203.60804256,1
204.87357357,1
205.0,2
206.75091237,1
207.01747211,1
208.155,1
209.5290029,1
210.0,3
211.18467612,1
212.89004372,1
213.65814696,1
214.80117475,1
215.29686717,1
216.34797319,1
217.86752454,1
218.206575,1
219.51722212,1
220.0,2
221.79691291,1
222.46646647,1
223.48132727,1
224.0,1
225.0,7
226.27619158,1
227.23243243,1
228.63019441,1
229.25306718,1
230.67350538,1
231.27287999,1
232.27110234,1
233.11298919,1
234.71088298,1
39.72620854,1
236.3005928,1
237.47612168,1
238.70279907,1
239.68472712,1
240.91646746,1
40.48986133,1
242.43393282,1
243.0545,1
244.0,1
245.0,2
246.95483653,1
247.1418724,1
248.22734106,1
249.22862973,1
250.0,104
251.57181434,1
252.4857168,1
42.10673937,1
254.76543376,1
255.48525793,1
0.6861289,1
257.17466087,1
258.58626198,1
43.07581247,1
260.85542367,1
261.17235152,1
262.97586179,1
