time,bid,ask
1525753222.0,0.9977,0.9979
1525753224.0,0.9978,0.9979
1525753328.0,0.9978,0.998
1525753333.0,0.9977,0.998
1525753362.0,0.9978,0.998
1525753363.0,0.9978,0.9979
1525753438.0,0.9977,0.9978
1525753469.0,0.9976,0.9978
1525753470.0,0.9977,0.9978
1525753541.0,0.9977,0.998
1525753546.0,0.9978,0.998
1525753577.0,0.9978,0.9979
1525753580.0,0.9977,0.9979
1525753620.0,0.9978,0.9979
1525753758.0,0.9977,0.9979
1525753763.0,0.9978,0.9979
1525753837.0,0.9976,0.9979
1525753838.0,0.9977,0.9979
1525753866.0,0.9978,0.9979
1525753938.0,0.9978,0.9979
1525753978.0,0.9978,0.9979
1525754083.0,0.9978,0.998
1525754118.0,0.9978,0.9979
1525754191.0,0.9977,0.9978
1525754299.0,0.9978,0.998
1525754334.0,0.9978,0.9979
1525754442.0,0.9978,0.998
1525754443.0,0.9979,0.998
1525754550.0,0.9977,0.998
1525754552.0,0.9978,0.998
1525754586.0,0.9978,0.9979
1525754628.0,0.9977,0.9979
1525754658.0,0.9977,0.9978
1525754766.0,0.9977,0.9979
1525754802.0,0.9978,0.9979
1525754982.0,0.9977,0.9979
1525754985.0,0.9978,0.9979
1525755060.0,0.9977,0.9979
1525755090.0,0.9977,0.9979
1525755093.0,0.9978,0.9979
1525755239.0,0.9978,0.9979
1525755346.0,0.9977,0.9979
1525755377.0,0.9978,0.9979
1525755486.0,0.9978,0.9979
1525755564.0,0.9976,0.9979
1525755569.0,0.9977,0.9979
1525755599.0,0.9978,0.9979
1525755738.0,0.9978,0.9979
1525755810.0,0.9978,0.9979
1525756063.0,0.9976,0.9978
1525756064.0,0.9977,0.9978
1525756104.0,0.9977,0.998
1525756108.0,0.9978,0.998
1525756139.0,0.9979,0.998
1525756243.0,0.9978,0.998
1525756279.0,0.9979,0.998
1525756494.0,0.9979,0.998
1525756674.0,0.9978,0.998
1525756675.0,0.9978,0.9979
1525757286.0,0.9979,0.998
1525757723.0,0.9978,0.9979
1525757827.0,0.9978,0.998
1525757862.0,0.9979,0.998
1525757916.0,0.9981,0.9983
1525757920.0,0.9979,0.9983
1525757921.0,0.9982,0.9983
1525757938.0,0.9979,0.9983
1525757941.0,0.9981,0.9983
1525757942.0,0.9979,0.9983
1525757943.0,0.9982,0.9983
1525757944.0,0.9979,0.9983
1525757947.0,0.9979,0.9983
1525757950.0,0.9979,0.998
1525757952.0,0.9981,0.9983
1525757960.0,0.9979,0.9983
1525757975.0,0.9979,0.9982
1525757985.0,0.9979,0.9983
1525757992.0,0.998,0.9983
1525758006.0,0.9981,0.9983
1525758079.0,0.9982,0.9983
1525758187.0,0.998,0.9982
1525758188.0,0.9981,0.9982
1525758296.0,0.9981,0.9983
1525758298.0,0.9981,0.9982
1525758403.0,0.9981,0.9983
1525758475.0,0.9982,0.9983
1525758619.0,0.9982,0.9983
1525758727.0,0.9981,0.9983
1525758763.0,0.9981,0.9982
1525758875.0,0.9982,0.9983
1525758980.0,0.998,0.9983
1525759015.0,0.9981,0.9982
1525759123.0,0.9981,0.9982
1525759195.0,0.9981,0.9983
1525759304.0,0.9982,0.9983
1525759416.0,0.998,0.9983
1525759448.0,0.9981,0.9983
1525759518.0,0.9982,0.9983
1525759628.0,0.9981,0.9983
1525759704.0,0.9982,0.9983
1525759812.0,0.998,0.9983
1525759843.0,0.9981,0.9983
1525759916.0,0.9982,0.9983
1525760023.0,0.9981,0.9983
1525760095.0,0.9982,0.9983
1525760209.0,0.9981,0.9983
1525760275.0,0.9982,0.9983
1525760388.0,0.9981,0.9983
1525760455.0,0.9982,0.9983
1525760568.0,0.9981,0.9982
1525760671.0,0.9981,0.9983
1525760672.0,0.9981,0.9982
1525760851.0,0.9981,0.9983
1525760852.0,0.9981,0.9982
1525760964.0,0.9981,0.9982
1525761175.0,0.998,0.9981
1525761199.0,0.9985,0.9986
1525761202.0,0.998,0.9986
1525761203.0,0.9992,0.9993
1525761208.0,0.998,0.9993
1525761212.0,0.9981,0.9992
1525761215.0,0.9992,0.9993
1525761226.0,0.9981,0.9993
1525761228.0,0.9992,0.9993
1525761229.0,0.9981,0.9993
1525761230.0,0.9992,0.9993
1525761233.0,0.9981,0.9993
1525761237.0,0.9982,0.9993
1525761252.0,0.9982,0.9992
1525761254.0,0.9982,0.9993
1525761256.0,0.9992,0.9993
1525761260.0,0.9982,0.9993
1525761261.0,0.9992,0.9993
1525761262.0,0.9982,0.9993
1525761288.0,0.9983,0.9993
1525761290.0,0.9984,0.9993
1525761319.0,0.9984,0.9992
1525761320.0,0.9985,0.9992
1525761321.0,0.9985,0.9991
1525761323.0,0.9992,0.9993
1525761326.0,0.9985,0.9993
1525761327.0,0.9992,0.9993
1525761329.0,0.9985,0.9993
1525761355.0,0.9985,0.9992
1525761392.0,0.9986,0.9992
1525761416.0,0.999,0.9992
1525761418.0,0.9991,0.9992
1525761468.0,0.9991,0.9992
1525761967.0,0.999,0.9992
1525761968.0,0.9991,0.9992
