time,price,volume,buy_or_sell,market_or_limit,misc
1525809153.5123,9273.30000,1.00000000,b,l,
1525888668.9727,9299.10000,1.00000000,s,l,
1525951147.0633,9326.50000,5.10000000,s,l,
1525940229.4856,9351.00000,0.20746360,b,m,
1525845969.8848,9069.70000,0.22467203,b,m,
1525841922.157,9077.00000,0.33209027,b,l,
1525874702.2861,9263.00000,0.16880000,s,l,
1525983917.8381,9077.40000,0.01980000,b,l,
1525878333.2246,9310.80000,0.00000023,s,m,
1525841923.7824,9077.00000,0.35586050,b,l,
1525754542.1916,9417.20000,0.03998290,s,l,
1525778361.9107,9185.50000,1.00000000,s,l,
1525809178.4031,9257.30000,1.00000000,b,l,
1525950322.1607,9360.40000,2.00000000,s,m,
1525940253.483,9350.90000,0.00000008,s,m,
1525809182.7805,9255.40000,0.11334237,s,l,
1525940256.8967,9351.00000,0.00347575,b,l,
1525874723.6203,9263.00000,0.26610000,s,l,
1525874725.709,9263.00000,0.28280000,s,l,
1525874729.3255,9263.00000,0.07620222,s,l,
1525839464.948,8999.00000,0.18679305,b,l,
1525888755.6059,9300.00000,0.12300000,b,m,
1525940270.9345,9351.00000,0.41614675,s,l,
1525809199.7382,9255.40000,1.00000000,s,l,
1525841928.7273,9077.00000,0.12583149,b,m,
1525809203.7427,9255.40000,0.00200000,s,l,
1525809204.0429,9255.40000,0.01300000,s,l,
1525809205.0441,9255.90000,0.50000000,b,m,
1525874743.2837,9261.00000,0.20000000,s,l,
1525874745.7411,9256.10000,0.14630000,s,l,
1525809210.1887,9255.40000,0.14200000,s,l,
1525874747.1726,9259.80000,0.24620000,s,l,
1525874748.4689,9257.00000,0.14330000,s,l,
1525809213.6583,9255.30000,0.00238303,s,l,
1525809214.8086,9253.90000,0.45774997,s,l,
1525820085.4448,9212.50000,0.11859090,b,l,
1525940289.7656,9351.00000,0.37408423,b,m,
1525874755.6295,9260.00000,0.10000000,s,l,
1525809222.181,9250.10000,0.00540532,b,m,
1525929313.4161,9327.20000,0.01432147,b,l,
1525809224.8696,9250.00000,0.00500000,s,l,
1525973004.24,9165.20000,0.21460000,b,m,
1525809231.0282,9250.00000,0.01900000,s,l,
1525874768.4177,9257.20000,0.28960000,s,l,
1525874769.2706,9257.40000,0.01417358,b,l,
1525874770.8123,9257.60000,0.20902179,s,l,
1525874771.0738,9257.20000,0.40506726,s,m,
1525809236.0447,9250.10000,0.97227207,b,m,
1525940309.5264,9350.90000,0.04600000,s,l,
1525874775.8375,9256.00000,0.27700000,s,l,
1525809241.948,9250.00000,2.19100000,s,l,
1525809244.7571,9250.00000,0.02200000,s,l,
1525874783.1418,9257.40000,0.23297082,s,l,
1525874784.1816,9257.90000,0.28950000,s,l,
1525951163.9514,9326.50000,0.11570000,b,l,
1525940324.5706,9350.90000,0.00500000,s,m,
1525809253.5944,9250.00000,0.05260000,s,l,
1525862630.7624,9150.00000,1.00000000,b,m,
1525810110.8665,9239.70000,0.50000000,b,l,
1525809256.8603,9250.00000,0.00800000,s,l,
1525874794.3767,9260.70000,0.00550000,s,l,
1525874796.2474,9260.70000,0.01223094,s,l,
1525869143.7488,9301.70000,0.00606493,b,m,
1525809262.0695,9250.00000,0.02500000,s,l,
1525809266.9884,9250.00000,1.00000000,s,l,
1525928052.2414,9325.00000,1.04145077,s,m,
1525809273.6558,9250.00000,0.25000000,s,l,
1525895219.2116,9281.40000,0.01290000,s,l,
1525874818.6605,9257.40000,0.76702918,s,l,
1525874820.9857,9257.30000,0.28250000,s,l,
1525874821.1636,9257.40000,2.00000000,b,l,
1525874823.1997,9257.30000,0.18947319,s,l,
1525874824.8477,9257.30000,0.18947319,s,l,
1525874825.9301,9257.30000,0.18947319,s,l,
1525874826.464,9257.30000,0.06400000,s,l,
1525809291.5671,9250.00000,0.18758607,s,l,
1525809292.6025,9250.00000,0.00200000,s,l,
1525809293.4475,9250.00000,0.20510000,s,l,
1525874830.1427,9257.30000,0.20275535,s,l,
1525874831.0484,9257.30000,0.18947319,s,l,
1525874832.8082,9257.30000,0.01190000,s,l,
1525809297.7284,9250.00000,1.00000000,s,l,
1525874834.2335,9257.30000,0.18947319,s,l,
1525809301.1619,9250.00000,1.00000000,s,l,
1525874838.6403,9257.30000,0.05000000,s,l,
1525874839.7217,9257.30000,0.02957277,s,l,
1525874840.2184,9257.30000,0.02877127,s,l,
1525874841.2493,9257.30000,0.03210000,s,l,
1525914534.1525,9329.90000,1.00000000,s,l,
1525874843.1443,9257.30000,0.26580000,s,l,
1525809308.2855,9250.10000,0.00300000,s,l,
1525874845.3202,9257.30000,0.24923560,s,l,
1525954141.973,9332.80000,0.00000016,s,m,
1525837719.7937,9034.50000,0.11731839,b,l,
1525809319.6351,9250.30000,0.01800000,s,l,
1525809322.9823,9250.30000,0.00300000,s,l,
1525940253.4086,9351.00000,0.01671465,b,l,
1525991240.54,9057.60000,0.00600000,b,m,
1525877436.787,9287.20000,0.25134532,b,l,
1525983081.3434,9043.90000,1.00000000,s,m,
1525809337.6595,9250.50000,0.00000514,b,m,
1525809338.6531,9250.40000,0.00500000,b,l,
1525809339.6082,9250.40000,0.01300000,s,l,
1525820106.6139,9212.20000,0.01831332,s,l,
1525958133.9365,9342.00000,4.72370766,b,l,
1525958210.0649,9349.90000,0.18370000,b,l,
1525839465.3204,8999.00000,0.00756664,b,l,
1525756098.5614,9368.00000,0.19000000,s,l,
1525809351.655,9250.80000,0.23300000,b,l,
1525809353.0734,9255.60000,0.01153333,b,m,
1525809355.2552,9255.00000,0.00400000,s,l,
1525940259.3595,9360.00000,0.00000027,b,l,
1525838483.1303,9026.30000,0.02210000,b,l,
1525888675.332,9299.00000,0.03798223,s,l,
1525893849.2391,9239.50000,0.50000000,s,m,
1525973028.1549,9159.80000,0.14850000,s,l,
1525809370.4967,9255.20000,0.01370000,s,l,
1525874907.7014,9257.40000,0.01780000,b,l,
1525809372.1255,9255.80000,0.02820773,b,l,
1525863802.4829,9206.30000,2.00000000,b,l,
1525874910.0975,9257.40000,0.01296260,b,l,
1525973029.0488,9161.70000,0.01000000,b,l,
1525770198.4255,9393.20000,0.36050000,b,m,
1525842848.9105,9034.40000,0.28925151,s,l,
1525858669.5872,9112.30000,0.00000001,b,l,
1525825390.1375,9133.50000,2.62665300,b,l,
1525874918.6233,9257.40000,0.02000000,b,l,
1525972425.6254,9189.60000,2.57692877,s,m,
1525874921.3047,9257.40000,0.00380000,b,l,
1525809386.373,9255.60000,0.00840158,b,m,
1525936357.737,9300.90000,0.00560000,s,l,
1525809390.039,9255.60000,0.00200000,b,l,
1525871218.9235,9274.60000,0.00299726,s,l,
1525857146.4074,9099.40000,0.00000001,b,l,
1525874729.9223,9263.00000,0.12020000,s,l,
1525885652.324,9346.00000,0.20000000,b,m,
1525867465.9329,9326.60000,0.01888158,b,m,
1525972380.9583,9255.00000,0.24810000,s,m,
1525809408.9893,9255.10000,0.01854019,s,l,
1525989697.4459,9083.30000,0.17100039,s,m,
1525911916.985,9350.00000,0.00344864,b,m,
1525940483.8047,9351.40000,0.01000000,b,m,
1525809412.5784,9255.20000,0.01500000,b,l,
1525940487.5778,9351.40000,0.01000000,b,m,
1525809418.0942,9255.10000,0.00927009,s,l,
1525783973.826,9134.40000,0.08942793,b,m,
1525809423.3174,9255.10000,0.00463505,s,l,
1525809787.5413,9233.80000,0.15465164,b,m,
1525940270.9489,9351.00000,0.01750000,s,l,
1525868295.5128,9275.50000,0.00000001,s,m,
1525809199.5154,9255.40000,0.04580000,s,l,
1525874972.7973,9257.30000,0.02000000,s,m,
1525983962.9713,9077.90000,2.00000000,s,m,
1525867466.2418,9400.00000,0.01500000,b,m,
1525874976.5896,9257.30000,0.07112240,s,l,
1525934505.3092,9268.80000,0.04000000,b,m,
1525874979.9616,9257.40000,0.08082800,b,m,
1525874980.2984,9257.30000,0.10960000,s,l,
1525863572.5077,9207.90000,0.06000000,b,m,
1525874983.1479,9257.30000,0.10950000,s,l,
1525867596.5652,9339.20000,0.70590000,b,l,
1525983964.0608,9077.90000,0.01337532,s,m,
1525756098.5918,9368.00000,1.00000000,s,l,
1525973042.7698,9163.50000,0.00606679,b,l,
1525938870.0783,9373.50000,0.01000000,b,l,
1525809456.9018,9255.20000,0.02330000,b,l,
1525812299.6673,9168.40000,0.21369356,s,m,
1525761688.1365,9316.90000,0.09183048,s,m,
1525961230.6804,9335.00000,0.06150000,s,m,
1525940539.8993,9351.50000,0.00270000,b,l,
1525809468.7116,9255.20000,0.11572332,b,l,
1525875005.7188,9257.10000,0.02000000,s,m,
1525873205.5421,9291.20000,1.67442153,s,m,
1525791020.1067,9120.10000,0.00800000,b,l,
1525809476.1774,9255.20000,0.00144528,b,m,
1525776438.5884,9315.00000,0.80000000,b,m,
1525809478.0846,9255.20000,0.03720000,b,l,
1525940553.7337,9351.40000,0.00900000,s,l,
1525971749.1547,9345.00000,0.10700000,s,l,
1525809485.0671,9255.20000,0.54096300,b,m,
1525871221.508,9270.70000,0.25922816,s,l,
1525991254.273,9034.50000,0.25144126,s,m,
1525912684.0694,9347.50000,0.00340000,s,l,
1525875031.8319,9258.00000,0.00200000,s,l,
1525837508.1262,9060.00000,0.29322987,b,l,
1525809500.8529,9255.10000,1.00000000,s,l,
1525809501.2378,9258.20000,1.03117053,b,l,
1525874747.6315,9259.80000,0.08280000,s,l,
