time,price,volume,buy_or_sell,market_or_limit,misc
1527007471.0608,8236.10000,0.01000000,s,m,
1527017442.1372,8172.70000,0.13403410,b,l,
1526989091.2028,8221.40000,0.11296076,s,l,
1526956326.5999,8295.50000,0.93798530,s,l,
1526988849.7725,8218.60000,0.16864045,s,l,
1527022362.0994,8153.00000,0.22000000,b,l,
1526953086.9061,8250.00000,0.02965235,s,m,
1526989102.6637,8221.40000,0.53878759,s,l,
1526989103.297,8221.40000,0.46121241,s,l,
1526956336.5749,8276.00000,2.37804900,s,m,
1526994312.9005,8203.30000,0.00282853,b,l,
1526989106.1479,8221.70000,0.11023944,s,l,
1526989107.5852,8222.20000,0.00213347,b,l,
1526942710.8122,8377.70000,0.00269022,b,l,
1526989114.1695,8220.30000,0.07142356,s,l,
1526925252.2085,8376.70000,0.01206193,s,m,
1526989122.8546,8220.30000,0.38824730,s,l,
1526989123.0818,8220.30000,0.09462804,s,l,
1527028755.7665,8015.00000,1.10380246,s,l,
1526983181.9806,8242.60000,0.05380000,b,l,
1526988778.7559,8220.10000,3.46488576,s,l,
1526987447.2812,8255.40000,0.17351851,s,l,
1527028790.6473,8010.50000,2.72000000,b,l,
1526923601.5107,8399.50000,0.16740000,s,l,
1526989139.4105,8221.40000,0.00827759,s,l,
1526923604.9136,8400.00000,3.01696337,b,l,
1526988857.6018,8220.20000,0.20191115,s,l,
1526991093.9952,8190.00000,0.04320000,s,l,
1526939706.5608,8377.10000,0.39755085,s,m,
1527025067.7323,8088.20000,0.43000000,s,m,
1526989151.8858,8223.70000,0.14589879,b,m,
1526956388.5678,8295.00000,0.00500000,b,m,
1526993656.3212,8170.90000,0.00000040,b,l,
1527028716.8153,8048.00000,0.04133918,s,l,
1527021931.8886,8165.40000,0.09120000,s,l,
1526938459.8056,8400.90000,0.10232620,s,m,
1526950032.5912,8333.20000,0.30167053,s,m,
1526989167.2851,8222.00000,0.00200000,s,m,
1526989168.167,8222.00000,0.00310928,s,l,
1527024644.6886,8085.00000,2.00000000,b,l,
1527021631.3304,8184.90000,1.00000000,b,m,
1526956412.2374,8295.00000,0.00387730,b,l,
1527015818.3563,8219.90000,0.26203430,b,l,
1526923649.745,8400.00000,0.08503315,b,l,
1527030472.1143,8009.30000,0.24425372,b,l,
1526989191.7892,8222.60000,0.10000000,b,m,
1527021960.5915,8165.40000,0.00327210,b,l,
1527021967.8468,8165.30000,0.50000000,b,l,
1527021969.2135,8165.30000,0.00200000,s,m,
1526940869.0134,8387.00000,1.00000000,b,l,
1527021972.6022,8165.40000,0.01030000,b,l,
1527021973.5439,8165.40000,0.00620000,b,l,
1526991113.1476,8175.00000,0.02446483,s,l,
1526956440.1466,8284.90000,0.67621463,s,l,
1526950639.3198,8345.20000,0.00232913,s,l,
1526950978.8677,8326.20000,0.29317975,s,m,
1526989221.3425,8224.60000,0.00736636,b,m,
1526932990.0475,8368.00000,0.17640731,s,l,
1526950032.7014,8331.00000,0.00007047,s,m,
1527022000.6603,8165.30000,0.25850000,s,l,
1527018002.2401,8150.00000,0.06230538,b,l,
1526923699.0271,8400.00000,0.07959388,b,l,
1526934260.9325,8393.40000,0.00561520,s,l,
1526979813.2462,8261.10000,0.00000001,b,l,
1526956484.4361,8294.90000,0.10000000,b,l,
1526934977.9609,8399.00000,0.70120000,b,l,
1527031345.9897,8019.30000,0.00223438,b,m,
1526968902.3326,8290.40000,0.19347500,s,l,
1526950032.694,8331.00000,0.05000000,s,m,
1526923341.2608,8392.20000,0.50000000,s,m,
1527022036.0581,8165.30000,4.23950000,s,l,
1527008183.1293,8215.40000,0.30000000,s,l,
1527017225.9754,8174.90000,0.14980000,s,m,
1526951103.7833,8336.40000,2.39500000,s,m,
1526989278.2219,8229.20000,0.10000000,s,m,
1526995949.4853,8213.50000,0.08209878,s,l,
1527021311.661,8190.00000,0.16000000,b,l,
1527021277.23,8188.70000,0.00260403,b,l,
1527030755.47,8019.20000,0.01945292,b,l,
1526989286.5171,8227.10000,0.57001771,s,l,
1526927440.7936,8345.90000,0.03381807,s,l,
1526989293.0773,8225.80000,0.11958429,s,l,
1526923759.5655,8400.00000,0.20000000,b,m,
1526956528.4596,8295.00000,0.01582600,b,l,
1526956532.3494,8295.00000,0.26781091,b,l,
1527028762.7444,7982.20000,0.08810000,b,l,
1526986892.6045,8279.80000,4.08700000,b,m,
1526925768.0551,8340.00000,0.11737000,s,m,
1526923771.0291,8400.00000,1.43214000,b,m,
1526988785.0898,8220.00000,0.02630000,s,l,
1527022080.5766,8156.60000,0.02739300,b,l,
1527017880.412,8150.00000,0.81035615,b,l,
1526972503.8795,8312.00000,0.04324593,s,m,
1526989324.4542,8226.30000,0.28540727,s,m,
1526956120.6561,8288.10000,0.15116781,b,l,
1526994350.9978,8204.70000,1.36501786,b,l,
1526923802.3287,8400.00000,3.53660297,b,l,
1526945199.6917,8413.00000,0.47510948,b,l,
1527013956.7532,8203.60000,0.28725888,s,m,
1526956580.8875,8306.50000,0.50000000,b,m,
1527002730.6371,8249.90000,0.00563197,b,l,
1526923814.3049,8407.10000,0.24170000,s,l,
1526923819.2462,8402.60000,0.13620000,s,l,
1526989357.6984,8229.70000,0.00200000,s,l,
1527024427.9975,8066.00000,0.21138270,b,m,
1527022132.8904,8157.10000,0.20000000,b,m,
1526989369.2678,8229.70000,0.01300000,s,l,
1527028918.3257,8018.90000,0.18587388,b,m,
1527022146.625,8151.40000,0.10000000,s,m,
1526956336.5352,8292.10000,1.00000000,s,m,
1526923847.1623,8406.90000,0.01480000,b,m,
1526923849.3972,8404.40000,0.01013783,s,l,
1527022155.8137,8156.70000,2.00000000,b,l,
1526923854.4521,8407.50000,0.55910000,b,l,
1527022159.3727,8150.10000,0.00565938,b,l,
1527024209.3825,8050.00000,0.10050000,s,l,
1527028757.6961,7975.60000,0.04239619,s,m,
1527022165.0652,8150.30000,0.18890000,s,m,
1527022170.2428,8151.80000,0.18890000,b,l,
1526923867.1872,8407.60000,0.00492512,s,l,
1527007624.6846,8233.10000,0.47000000,b,m,
1527022174.2682,8151.80000,0.18890000,b,l,
1527022175.8251,8151.70000,0.08320000,b,l,
1527022182.582,8151.60000,0.18890000,b,l,
1527022183.2671,8150.40000,0.00100000,s,m,
1527021154.3373,8183.90000,0.11946940,b,m,
1527017773.6976,8145.00000,1.00000000,b,l,
1526988903.4289,8210.00000,0.50000000,s,m,
1527022190.7074,8151.50000,0.18890000,b,l,
1527017528.0213,8150.60000,1.00000000,s,l,
1527022192.8843,8151.50000,0.18890000,b,l,
1527022194.2022,8151.50000,0.18890000,b,l,
1526994366.893,8200.00000,0.30000000,b,m,
1526938447.1505,8402.50000,0.33911958,s,m,
1527022203.1336,8150.90000,0.25870000,b,l,
1527022204.4858,8150.90000,0.25870000,b,l,
1527022205.8187,8151.50000,0.25870000,b,l,
1526964634.0206,8285.60000,0.24138263,s,l,
1527022210.2243,8150.90000,0.18890000,b,l,
1526989443.0427,8239.20000,0.05507664,s,l,
1526989445.4891,8239.40000,0.01496532,b,l,
1527022216.8203,8155.70000,0.00400000,b,m,
1526989449.0918,8248.10000,0.00310000,b,m,
1527022218.1608,8150.60000,0.00004504,s,m,
1526983447.6728,8247.00000,0.01000000,b,l,
1526988909.5454,8206.50000,0.47303446,s,m,
1526976200.8292,8307.50000,0.18044628,s,m,
1526955498.0795,8292.10000,1.00000000,b,m,
1526945219.0918,8415.00000,0.02506304,b,l,
1526989461.5962,8239.30000,0.00710000,s,m,
1527012734.5929,8187.80000,0.56000000,s,l,
1526953633.5308,8284.10000,0.08900000,s,m,
1526951499.8176,8300.00000,0.04212000,s,m,
1526956701.8818,8300.50000,0.04500000,s,l,
1526994373.549,8210.20000,0.00360000,b,m,
1526923937.6053,8408.90000,0.06875526,b,l,
1526959042.8583,8301.70000,1.00000000,b,l,
