time,price,volume,buy_or_sell,market_or_limit,misc
1526953611.7973,12.855800,0.00478467,b,l,
1527029172.7375,12.150000,158.83690410,s,l,
1526997009.6663,12.950000,19.30501000,s,l,
1526954175.1263,12.989200,0.00478467,b,m,
1526912747.6621,13.310000,34.71719937,s,l,
1526932062.1838,13.255000,10.01001001,b,l,
1526997026.5969,12.900000,19.37984000,s,l,
1526898510.7114,13.394100,0.23278793,s,m,
1526912348.422,13.240000,0.00001448,s,m,
1527029803.2952,12.132200,5.00000000,b,l,
1526931934.8865,13.201900,11.04254618,s,m,
1527017675.64,12.657500,47.00000000,s,m,
1527029170.3919,12.150000,4.01830000,s,l,
1526891870.0382,13.850000,599.16117437,b,l,
1526905603.1524,13.585400,259.97491706,b,l,
1526980667.982,12.825500,26.24300000,b,m,
1526979800.647,12.804800,3.00000000,s,l,
1526931517.9039,13.200000,100.00000000,b,l,
1526900885.1619,13.250100,155.38944269,s,m,
1526906947.2117,13.650000,10.00000000,b,m,
1526898757.3726,13.459800,13.11000000,b,l,
1526912348.415,13.240000,82.13980000,s,m,
1527024312.6079,12.337000,0.00024817,s,m,
1526951117.913,12.979900,8.55916945,s,m,
1527008791.0435,12.822400,5.00000000,s,m,
1526951117.9169,12.979900,0.00005756,s,m,
1526947927.1079,13.444300,6.92000000,b,l,
1526947928.1118,13.444700,69.00000000,b,m,
1526912311.9622,13.300000,17.00000000,s,l,
1526926010.8191,13.142800,8.32000000,s,m,
1527025629.1174,12.380000,20.00000000,s,m,
1526973801.0925,12.990000,0.00014556,b,l,
1527029482.9054,12.110000,0.00022356,s,m,
1526973801.0749,12.990000,145.85414585,b,l,
1527024000.2968,12.400900,0.00000001,s,m,
1526908213.8808,13.482600,107.07016044,s,m,
1526907015.69,13.649500,234.04059489,b,m,
1526882447.0427,13.949400,5.00000000,s,m,
1526992206.7635,12.685500,400.00000000,s,m,
1526915219.5368,13.173100,8.02600000,b,l,
1527000365.9596,12.818400,393.02075274,s,m,
1526915972.9198,13.200000,18.93939000,s,m,
1527028904.2194,12.150100,0.00024667,s,m,
1526915232.7782,13.173200,4.39744381,b,l,
1526915235.1815,13.173200,30.02879917,b,l,
1526915239.0696,13.173200,51.17060463,b,l,
1526915241.188,13.173200,52.80238200,b,l,
1526915242.2278,13.173200,1.10166922,b,l,
1526953330.2397,12.876600,172.06352022,s,m,
1526901073.1111,13.390000,104.83234003,b,l,
1527022358.9744,12.609500,9.00000000,b,l,
1526904180.7279,13.455000,231.00000000,b,l,
1526979800.6572,12.800000,39.06250000,s,l,
1526905546.3748,13.596000,603.71900000,b,l,
1527029952.0406,12.031000,78.13800880,s,m,
1526972612.3153,13.030000,19.18649000,s,l,
1526898887.6841,13.509600,26.50872394,b,l,
1526898889.3411,13.509900,26.50872394,s,l,
1526919247.8646,13.150000,0.00001669,s,m,
1527029966.239,12.001100,0.00014855,s,l,
1526923476.3785,13.257300,99.99860000,b,l,
1526912377.1644,13.171100,0.23733064,s,m,
1526909499.5592,13.450000,18.58736000,s,l,
1526908882.8991,13.588600,5.19779700,b,m,
1526931682.1448,13.200000,14.18715099,b,l,
1526994300.4596,12.790000,42.16563764,b,l,
1526886125.4862,14.000000,185.63373491,s,l,
1526907122.1874,13.648700,116.12128873,b,l,
1527029559.0747,12.000000,420.00000000,s,l,
1526896218.8847,13.742900,0.00152179,s,m,
1527029180.065,12.150000,12.68110620,s,l,
1526916521.7054,13.167200,0.07373274,s,m,
1526904180.7346,13.465000,6.46561156,b,l,
1526997262.1626,12.857200,5.00000000,s,m,
1526912387.9058,13.200000,6.24300000,b,l,
1526930043.5689,13.250100,282.73202000,b,l,
1526998929.8353,12.878100,5.50641313,b,m,
1526991054.7928,12.644300,0.00011397,s,m,
1527023306.9123,12.520000,7.98722000,s,m,
1526913949.421,13.130100,5.00000000,s,l,
1527030050.259,12.028200,6.00000000,s,m,
1527029952.0451,12.031000,72.29221044,s,m,
1526915370.6837,13.180000,0.00000096,s,m,
1527030066.3824,12.109900,0.00004989,b,l,
1527029182.9148,12.150000,198.69990120,s,l,
1526907193.7601,13.646900,493.68537910,b,m,
1526952803.5807,12.780000,61.59580000,b,l,
1527030080.0317,12.151000,347.00000000,b,l,
1526915398.8262,13.238900,0.89474693,b,l,
1526882631.5869,14.005300,49.49454849,b,m,
1526953114.1921,12.830500,0.99760584,s,l,
1526953356.4255,12.877100,100.00000000,s,m,
1526982584.1925,12.683000,80.00000000,s,m,
1526968375.6044,12.960000,9.97412311,s,m,
1527030093.8082,12.158000,111.73662591,b,l,
1526923600.6375,13.256400,106.00000000,s,l,
1527017528.3858,12.711100,5.00000000,s,m,
1526915410.8406,13.242700,0.00000031,s,m,
1526950134.8755,13.181300,0.00096163,s,m,
1526994318.0737,12.800000,400.00000000,b,l,
1526964566.6619,12.860400,9.75400000,s,m,
1526915415.1949,13.238600,0.00075242,b,l,
1526912640.7898,13.299500,45.21600000,b,l,
1526960213.6952,13.050000,36.10484177,b,l,
1526898510.7136,13.394100,0.00060368,s,m,
1526952803.2106,12.781800,137.53858391,s,l,
1526980667.999,12.826200,352.33929769,b,m,
